0,0,0.1,0.5,1,3,5
10,42,42.1,42.5,43,44.9,46.9
20,83.9,84,84.3,84.8,86.7,88.6
40,167.4,167.5,167.9,168.3,170.1,171.9
60,2611.3,251.2,251.2,251.9,253.6,255.3
80,2649.3,335,335.3,335.7,337.3,338.8
100,2687.3,2676.5,419.4,419.7,421.2,422.7
120,2725.4,2716.8,503.9,504.3,505.7,507.1
140,2763.6,2756.6,589.2,589.5,590.8,592.1
160,2802,2796.2,2767.3,675.7,676.9,678
180,2840.6,2835.7,2812.1,2777.3,764.1,765.2
200,2879.3,2875.2,2855.5,2827.5,853,853.8
220,2918.3,2914.7,2898,2874.9,943.9,944.4
240,2957.4,2954.3,2939.9,2920.5,2823,1037.8
260,2996.8,2994.1,2981.5,2964.8,2885.5,1135
280,3036.5,3034,3022.9,3008.3,2941.8,2857
300,3076.3,3074.1,3064.2,3051.3,2994.2,2925.4
350,3177,3175.3,3167.6,3157.7,3115.7,3069.2
400,3279.4,3278,3217.8,3264,3231.6,3196.9
420,3320.96,3319.68,3313.8,3306.6,3276.9,3245.4
440,3362.52,3361.36,3355.9,3349.3,3321.9,3293.2
450,3383.3,3382.2,3377.1,3370.7,3344.4,3316.8
460,3404.42,3403.34,3398.3,3392.1,3366.8,3340.4
480,3446.66,3445.62,3440.9,3435.1,3411.6,3387.2
500,3488.9,3487.9,3483.7,3478.3,3456.4,3433.8
520,3531.82,3530.9,3526.9,3521.86,3501.28,3480.12
540,3574.74,3573.9,3570.1,3565.42,3546.16,3526.44
550,3593.2,3595.4,3591.7,3587.2,3568.6,3549.6
560,3618,3617.22,3613.64,3609.24,3591.18,3572.76
580,3661.6,3660.86,3657.52,3653.32,3636.34,3619.08
600,3705.2,3704.5,3701.4,3697.4,3681.5,3665.4


