0,7.10,10.1,14.1,20.1,25.1,30
10,48.80,51.7,55.6,61.3,66.1,70.8
20,90.40,93.2,97,102.5,107.1,111.7
40,173.60,176.3,179.8,185.1,189.4,193.8
60,256.90,259.4,262.8,267.8,272,276.1
80,340.40,342.8,346,350.8,354.8,358.7
100,424.20,426.5,429.5,434,437.8,441.6
120,508.50,510.6,513.5,517.7,521.3,524.9
140,593.40,595.4,598,602,605.4,603.1
160,679.20,681,683.4,687.1,690.2,693.3
180,766.20,767.8,769.9,773.1,775.9,778.7
200,854.63,855.9,857.7,860.4,862.8,856.2
220,945.00,946,947.2,949.3,951.2,953.1
240,1038.00,1038.4,1039.1,1040.3,1041.5,1024.8
260,1134.70,1134.3,1134.1,1134,1134.3,1134.8
280,1236.70,1235.2,1233.5,1231.6,1230.5,1229.9
300,2839.20,1343.7,1339.5,1334.6,1331.5,1329
350,3017.00,2924.2,2753.5,1648.4,1626.4,1611.3
400,3159.70,3098.5,3004,2820.1,2583.2,2159.1
420,3211.02,3155.98,3072.72,2917.02,2730.76,2424.7
440,3262.34,3213.46,3141.44,3013.94,2878.32,2690.3
450,3288.00,3242.2,3175.8,3062.4,2952.1,2823.1
460,3312.44,3268.58,3205.24,3097.96,2994.68,2875.26
480,3361.32,3321.34,3264.12,3169.08,3079.84,2979.58
500,3410.20,3374.1,3323,3240.2,3165,3083.9
520,3458.60,3425.1,3378.4,3303.7,3237,3166.1
540,3506.40,3475.4,3432.5,3364.6,3304.7,3241.7
550,3530.20,3500.4,3459.2,3394.3,3337.3,3277.7
560,3554.10,3525.4,3485.8,3423.6,3369.2,3312.6
580,3601.60,3574.9,3538.2,3480.9,3431.2,3379.8
600,3649.00,3624,3589.8,3536.9,3491.2,3444.2
