350,3017.00,2924.2,2753.5,1648.4,1626.4,1611.3
400,3159.70,3098.5,3004,2820.1,2583.2,2159.1
420,3211.02,3155.98,3072.72,2917.02,2730.76,2424.7
440,3262.34,3213.46,3141.44,3013.94,2878.32,2690.3
450,3288.00,3242.2,3175.8,3062.4,2952.1,2823.1
460,3312.44,3268.58,3205.24,3097.96,2994.68,2875.26
480,3361.32,3321.34,3264.12,3169.08,3079.84,2979.58
500,3410.20,3374.1,3323,3240.2,3165,3083.9
520,3458.60,3425.1,3378.4,3303.7,3237,3166.1
540,3506.40,3475.4,3432.5,3364.6,3304.7,3241.7
550,3530.20,3500.4,3459.2,3394.3,3337.3,3277.7
560,3554.10,3525.4,3485.8,3423.6,3369.2,3312.6
580,3601.60,3574.9,3538.2,3480.9,3431.2,3379.8
600,3649.00,3624,3589.8,3536.9,3491.2,3444.2
---------------------------------我是可爱的页面分割线-------------------------------------
